MaterialTicker,ExchangeCode,CompanyId,CompanyName,CompanyCode,ItemCount,ItemCost
AEF,NC1,1722d9caeafd49684a31093297af3c38,Art Of Dao,AOD,2,3508.889892578125
AEF,NC1,900f7add99ea759e03436dedca20c2e9,TungstenTech,TUTE,2,4750
AEF,NC1,0ac8d5050aa9361ea1e6482bcbc1d514,Spacenetic,SNT,10,5000
AEF,NC1,900f7add99ea759e03436dedca20c2e9,TungstenTech,TUTE,5,5300
AEF,NC2,fa9361dfcd747f3bd31262e04e561d90,Dawn Foods Limited,DFL,30,2600
AFR,CI1,8aaf681dfb4811fc9db104e35b02928c,Peregrine Light Ag Industries,PLG,1,5000
AFR,NC1,fb414c261da85e7ed5db20c602723378,Kodiak Industries,KI,11,20000
AGS,NC1,fdd40c89c07d75f4cb061bf57cf10746,Cornucopix,COPI,1,280000
AHP,AI1,dec7a7a7b7f79fe553a6f73eb9abff90,AceBaron,AB,6,5000
AHP,NC1,d7750bc24f90a78371a6e00882eca0bf,RegalGoblin-Destroyer,BYEK,2,8000
AL,AI1,df96392f80361ccefe9f29f5d0552c8d,Chained Millennium,OBEY,60,494.9800109863281
AL,AI1,044d08ac938fe52593a8595b717e6d88,MannCo,MNNC,300,550
AL,AI1,63e665ec835fe663c2dd845c1046deb0,ZymKultureII,ZKII,20,550
AL,AI1,c87f6dc123cbb22705079b3dfd722a73,Ratshare Ltd.,SHAR,98,495
AL,AI1,1364210b134ff09a9d69b7bf3b2236c9,Astra Manufactorium,AMF,81,520
AL,AI1,24f374c4f4e8ac5bb483a5faa2b763fe,Zinon Inc.,ZIN,104,500
AL,AI1,28499e76a3f7493566a8b951334b9c00,Jables Fabs,JBF,65,498
AL,AI1,63e665ec835fe663c2dd845c1046deb0,ZymKultureII,ZKII,20,550
AL,AI1,24f374c4f4e8ac5bb483a5faa2b763fe,Zinon Inc.,ZIN,251,540
AL,AI1,044d08ac938fe52593a8595b717e6d88,MannCo,MNNC,97,520
AL,AI1,044d08ac938fe52593a8595b717e6d88,MannCo,MNNC,97,539
AL,AI1,044d08ac938fe52593a8595b717e6d88,MannCo,MNNC,111,545
AL,AI1,1d8042e8ba601e9fe50b43ec00b11bb8,Bubbleworld,BBW,180,485
AL,AI1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,1000,600
AL,CI1,e84251b56475af4cadd53cf351b16a24,Int'l Import-Export Trading Co,IIET,20,552.989990234375
AL,CI1,c48cb0f7bcd6d8ca8d15748da6f076ec,Ulricia Inc,ULR,100,523.5399780273438
AL,CI1,2ea13e31964e51c37be28fc3bf700f6d,Blubberblub,BLB,32,555
AL,CI1,76d40a729166ec2d61217e18df128ea3,Reptilian Dairy Ventures LP,DD11,5,587.989990234375
AL,CI1,9c281285e7573888fc17e4ff7758ef05,United Nations Space Command,UNSC,8,535
AL,CI1,67a50c9d2c05009201a0b5cbc158e2bb,Stink n Stone Designs,TWIG,20,540
AL,CI1,f71f37b41a94f1358d77b3d6217cdf14,Nexus Five,NEFI,21,545
AL,CI1,401961f8ff7a37626d3fa85da5d0e1c7,Wisely2,WISE,137,625
AL,CI1,6ea1b5c38bd902b89fb2432459b7dbe7,Dangerduck's Delivery Delight,DDD3,38,544.989990234375
AL,CI1,330bfcf35e15c7aac7572c4c08128164,HB Solutions,HBS,68,552.97998046875
AL,CI1,cffc7ee5de794761e7dfb2cc1052acb6,Umbros Ltd,UBL,150,544.5
AL,CI1,e84251b56475af4cadd53cf351b16a24,Int'l Import-Export Trading Co,IIET,24,552.989990234375
AL,CI1,383f5fb7b9bdb76e80787d660982a198,Kvantum Industries,KVIN,20,523.530029296875
