Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
DA,,,30000,11,30000,11,,,0,2850,1,25000,8,,,0,26241.5703125,,,0,,,0,44000,13,44000,50,,,0,26241.5703125,,,0,,,0,26241.5703125,1,60000,1,,,0
DCH,,,9000,,,0,,,0,8802.490234375,,,0,,,0,8802.490234375,,,0,,,0,8802.490234375,,,0,,,0,8802.490234375,,,0,,,0,8802.490234375,,,0,,,0
DCL,,,2400,4,3500,4,,,0,3471.7099609375,3,8000,4,,,0,3538.300048828125,,,0,,,0,2500,,,0,,,0,3538.300048828125,,,0,,,0,2828.340087890625,2,3500,10,,,0
DCM,,,2700,,,0,,,0,2050,,,0,25,2100,61,2267.81005859375,,,0,,,0,2906.760009765625,,,0,30,2525.25,30,2267.81005859375,,,0,,,0,2000,,,0,30,1850,30
DCS,,,1200,,,0,431,1000,445,896.5399780273438,,,0,20,810,387,861.1300048828125,,,0,,,0,1000,6,1500,6,580,1000,590,861.1300048828125,,,0,,,0,800,6,1300,46,,,0
DD,,,26708.400390625,,,0,,,0,26708.400390625,,,0,,,0,26708.400390625,,,0,,,0,26708.400390625,2,30000,2,,,0,26708.400390625,,,0,,,0,26708.400390625,,,0,,,0
DDT,,,2139.169921875,37,2230,297,10,1950,69,1988.0699462890625,3,1997.989990234375,286,10,1900,213,2318.090087890625,,,0,,,0,2131.669921875,420,1999,1284,20,1877,190,2318.090087890625,44,2250,44,,,0,2281.02001953125,30,2399.989990234375,161,13,1900,55
DEC,,,10000,2,13500,3,89,10000,99,7000,2,9500,7,,,0,9479.2001953125,,,0,,,0,15000,6,15000,14,4,7000,4,9479.2001953125,,,0,,,0,17171.7109375,2,15595.509765625,9,,,0
DIS,,,4500,60,4200,80,20,2000,20,4400,,,0,,,0,5291.64013671875,,,0,,,0,4100,,,0,,,0,5291.64013671875,,,0,,,0,5000,,,0,20,1500,20
DOU,,,200000,,,0,,,0,102996.203125,,,0,,,0,102996.203125,,,0,,,0,102996.203125,,,0,,,0,102996.203125,,,0,,,0,102996.203125,,,0,,,0
DRF,,,2000,20,2000,20,,,0,2500,,,0,,,0,3025.3798828125,,,0,,,0,4997,2,3500,24,,,0,3025.3798828125,,,0,,,0,3025.3798828125,,,0,,,0
DV,,,12329.669921875,,,0,,,0,10500,1,12000,6,,,0,12329.669921875,,,0,,,0,12329.669921875,1,20000,1,,,0,12329.669921875,,,0,,,0,12329.669921875,2,20000,2,,,0
DW,,,70.95999908447266,100,68.97000122070312,54878,1200,50.0099983215332,16300,70,3213,69,28143,35,62.54999923706055,30645,46,2809,68,5695,960,46,1405,67.22000122070312,127,75,18560,70,66.01000213623047,101833,69,190,69,7950,1,40,701,58.27000045776367,112,58.310001373291016,44392,200,55,52226
EDC,16000,,16000,120,17000,573,100,16000,100,16000,3,16400,8,100,16000,100,8219.7802734375,,,0,,,0,16000,3,16250,23,100,16000,100,8219.7802734375,,,0,,,0,16157.080078125,1,17000,11,300,16500.009765625,400
EES,,,48741.9609375,2,90000,2,,,0,48741.9609375,2,100000,3,,,0,48741.9609375,,,0,,,0,65000,9,80000,13,,,0,48741.9609375,,,0,,,0,48741.9609375,,,0,,,0
ENG,,,500000,,,0,,,0,366662.8125,,,0,,,0,366662.8125,,,0,,,0,500000,,,0,,,0,366662.8125,,,0,,,0,366662.8125,,,0,,,0
EPO,,,122.44000244140625,350,200,350,10000,100,12050,118.80000305175781,5000,120,9356,5000,80.01000213623047,5690,82.68000030517578,,,0,,,0,125.0199966430664,500,160,2827,10000,118,15532,82.68000030517578,,,0,,,0,132.27999877929688,200,120,1050,300,90.01000213623047,1358
ES,,,5622.2998046875,5,7000,5,95,5000,194,5382.08984375,,,0,4,3150.010009765625,129,1888.1600341796875,,,0,,,0,4889.31982421875,2,10000,2,10,3601.010009765625,520,1888.1600341796875,,,0,,,0,4913.169921875,,,0,5,4000.010009765625,68
ETC,,,15000,17,15000,17,,,0,12500,17,12000,21,,,0,10329.26953125,,,0,,,0,10000,3,15000,3,,,0,10329.26953125,,,0,,,0,11900,,,0,,,0
EXO,,,204.99000549316406,69,239,390,3,147,547,169.5,90,174.9499969482422,2295,1,151.02999877929688,1219,150,147,165,207,,,0,162.80999755859375,89,174.99000549316406,2843,5000,120,7251,250,40,250,183,,,0,156.13999938964844,333,166.5800018310547,993,30,81.0199966430664,295
F,,,1200,,,0,50,933.3900146484375,55,2500,36,2500,36,12,1900,533,222.22000122070312,,,0,,,0,6000,16,6000,16,10,3000,130,222.22000122070312,,,0,,,0,1200,,,0,10,1111.1099853515625,10
FAL,,,1000,18,1000,18,80,700,80,600,,,0,2,600,2,1027.9599609375,,,0,,,0,1300,88,1300,88,28,650,58,1027.9599609375,,,0,,,0,1000,3,1000,3,14,600,14
FAN,,,1200,5,1200,5,,,0,1000,66,1000,277,,,0,987.25,,,0,,,0,999,2,999,57,,,0,987.25,,,0,,,0,1500,5,1200,5,,,0
FC,,,3000,,,0,,,0,2500,,,0,25,3000,50,2253.139892578125,,,0,,,0,3861.639892578125,2,3000,12,,,0,2253.139892578125,,,0,,,0,2000,2,2500,2,,,0
FE,,,472.2699890136719,19,545,625,10,450,1285,492.3599853515625,22,490,59,3,485,1005,404.010009765625,,,0,500,40.40999984741211,500,403.1000061035156,1,470,946,50,400,1070,350,20,350,100,,,0,394.4200134277344,1,464.989990234375,751,100,390.239990234375,1802
FEO,32,,107.36000061035156,374,110,708,18,70.05000305175781,729,58.880001068115234,33,70,182,14,51,892,50,,,0,,,0,35.220001220703125,84,48,2497,18,40,13811,41,,,0,,,0,77.04000091552734,367,150,466,160,100,908
FET,,,2200,10,2200,10,100,1000,100,544,8,1600,8,,,0,1614.260009765625,,,0,,,0,3200,48,2000,48,,,0,1614.260009765625,,,0,,,0,2500,,,0,,,0
FF,,,13.819999694824219,17979,13,109055,200,12.5,19128,11.779999732971191,5600,13.449999809265137,143317,150,11.210000038146973,66628,12,9299,12,13685,,,0,11.239999771118164,19700,11.350000381469727,413818,75,11,51603,11.5,2152,11.5,10152,200,11.489999771118164,6500,10.59000015258789,24130,10.9399995803833,336841,3000,10.100000381469727,66200
FFC,150000,,300000,,,0,100,150000,100,315000,1,315000,1,1,250000,101,144805.65625,,,0,,,0,325000,1,325000,1,100,150000,100,144805.65625,,,0,,,0,325000,1,1000000,1,100,150000,100
FIM,,,1709.8599853515625,100,1449,434,100,930,127,1268.8599853515625,4,1545,251,8,1111.010009765625,437,909.9500122070312,,,0,,,0,1493.9300537109375,100,2200,454,22,1101.010009765625,2153,850,,,0,,,0,1558.4200439453125,332,2100,372,10,1150.010009765625,1451
FIR,,,564206.1875,,,0,,,0,564206.1875,,,0,,,0,564206.1875,,,0,,,0,564206.1875,,,0,,,0,564206.1875,,,0,,,0,564206.1875,,,0,,,0
FLO,,,15000,,,0,,,0,8000,,,0,,,0,10184.8095703125,,,0,,,0,20000,12,20000,12,,,0,10184.8095703125,,,0,,,0,10184.8095703125,,,0,,,0
FLP,,,300,12,350,16,,,0,350,7,350,19,,,0,312.0899963378906,,,0,,,0,301.9100036621094,6,340,42,,,0,312.0899963378906,,,0,,,0,400,5,400,15,,,0
FLX,,,154.07000732421875,430,135,2197,8,125,2451,96.80000305175781,15,146.99000549316406,665,100,80,397,75,52,75,62,,,0,91.61000061035156,2486,95,5761,10,90,4345,80,189,80,599,,,0,100.94000244140625,160,124.98999786376953,1619,300,60.02000045776367,1536
FOD,,,163.94000244140625,200,999.989990234375,730,290,160,290,163.94000244140625,396,165,396,200,93.37000274658203,504,170.30999755859375,,,0,,,0,222,48,225,48,,,0,170.30999755859375,,,0,,,0,297.9700012207031,16,199,481,,,0
FSE,,,750000,,,0,1,500000,1,800000,,,0,,,0,427320.125,,,0,,,0,580000,1,600000,1,10,500000,10,427320.125,,,0,,,0,427320.125,1,745000,1,,,0
FUN,,,60078.3984375,,,0,,,0,60078.3984375,,,0,,,0,60078.3984375,,,0,,,0,60078.3984375,,,0,,,0,60078.3984375,,,0,,,0,60078.3984375,,,0,,,0
GAL,57,,131.58999633789062,4,150,1507,13,81,499,75.5199966430664,27,76,8633,11,71.02999877929688,3344,80,,,0,,,0,93.69000244140625,140,115.11000061035156,2849,200,80,1228,57,86,80,186,,,0,74.19999694824219,69,98,3217,6,71,160
