MaterialTicker,ExchangeCode,CompanyId,CompanyName,CompanyCode,ItemCount,ItemCost
AL,AI1,04cbde1cb95d0103c404e33033d35db8,Hare Enterprises Inc.,HEH,190,410
AL,AI1,d4d28d54de6e033441387ae90fabf9d3,Interstellar Gaia,INGA,100,401
AL,AI1,d4d28d54de6e033441387ae90fabf9d3,Interstellar Gaia,INGA,165,390
AL,AI1,e49cc8482f9b000677ec1545e339542e,The Delta Corporation LLC,DAC,120,200
AL,AI1,04cbde1cb95d0103c404e33033d35db8,Hare Enterprises Inc.,HEH,200,420
AL,CI1,4607ebe8c07bf2f59671e82bf25fb98a,Winged Industrial,WNGI,40,311
AL,CI1,6ffded4a9fdbabb6d4019704519405d7,slatmine,ST12,3,420
AL,CI1,dd0e91995658c8b833180448b1a9ee49,Hanseatic League,HSL,20,485.1000061035156
AL,CI1,cffc7ee5de794761e7dfb2cc1052acb6,Umbros Ltd,UBL,150,499
AL,CI1,f6abb46496ad1a1b84487b66fc81aeca,Puxeyan,UWU,111,498.010009765625
AL,CI1,72c0c2dc68108257ed6fea387b7448bd,KSS Robotics,KSS,20,496
AL,CI1,f5c807c23f80c5dd16db2fb9d95af49b,EXOTERRA INDUSTRIES,XOTI,100,490
AL,CI1,efab4344f1f3c1d4ea1a5eee38921e95,Wright Manufacturing Company,WMC,25,460
AL,CI1,72c0c2dc68108257ed6fea387b7448bd,KSS Robotics,KSS,40,496
AL,CI1,e84251b56475af4cadd53cf351b16a24,Int'l Import-Export Trading Co,IIET,20,460.010009765625
AL,CI1,92f69b8858d1814e8e91f20790fc48d9,Gamma,GMA,6,498
AL,CI1,758b05ffdbc2477e6f25d5af8647312a,Settler Industries,SID,5,410
AL,CI1,0c63bb5c3395394f4b57cfb54aad3695,"Build, Produce, Associate",BPA,65,495
AL,CI1,3179817c05b854967daf96e9b75af087,Fermat Farming Foundation,FMTF,172,450
AL,CI2,e2585f790230e69303a757d84e960b03,GIXID,ROMA,231,27.5
AL,IC1,cffc7ee5de794761e7dfb2cc1052acb6,Umbros Ltd,UBL,2,441
AL,IC1,04cbde1cb95d0103c404e33033d35db8,Hare Enterprises Inc.,HEH,400,390
AL,IC1,4607ebe8c07bf2f59671e82bf25fb98a,Winged Industrial,WNGI,100,387.1000061035156
AL,IC1,76d40a729166ec2d61217e18df128ea3,Reptilian Dairy Ventures LP,DD11,12,440.010009765625
AL,IC1,88842ee09ebb07722d27c911688c2678,ERTHMVRS,ETMV,103,436.1099853515625
AL,IC1,bffe6068e29fd5c1514c3733c589931c,7144Production,PEER,100,440
AL,IC1,7c75e62ac65910b3115e4e5ddef5d679,Przeds. Prod. HumAnta,PPH,4,352
AL,NC1,cf426c0edba08ffb5cf0ffe3f9f6644a,Evo Manufacturing,EM15,5,75
