ContractNaturalId,PlanetNaturalId,PlanetName,OriginPlanetNaturalId,OriginPlanetName,DestinationPlanetNaturalId,DestinationPlanetName,CargoWeight,CargoVolume,CreatorCompanyName,CreatorCompanyCode,PayoutPrice,PayoutCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
59066,VH-331a,Promitor,VH-331a,Promitor,ANT,Antares Station,210,100,Natural Mystic,NMY,2200,AIC,3,1664196164116,1664368964116,PENDING
59065,VH-331a,Promitor,VH-331a,Promitor,ANT,Antares Station,168.75,75,Natural Mystic,NMY,1700,AIC,3,1664196127216,1664368927216,PENDING
59064,VH-331a,Promitor,VH-331a,Promitor,ANT,Antares Station,168.75,75,Natural Mystic,NMY,1700,AIC,3,1664196126118,1664368926118,PENDING
59063,VH-331a,Promitor,VH-331a,Promitor,ANT,Antares Station,168.75,75,Natural Mystic,NMY,1700,AIC,3,1664196125183,1664368925183,PENDING
59019,VH-331a,Promitor,VH-331a,Promitor,OT-442b,Danakil,192,240,PITW Industries,PITW,3000,ICA,3,1664139609612,1664398809612,PENDING

