ContractNaturalId,PlanetNaturalId,PlanetName,OriginPlanetNaturalId,OriginPlanetName,DestinationPlanetNaturalId,DestinationPlanetName,CargoWeight,CargoVolume,CreatorCompanyName,CreatorCompanyCode,PayoutPrice,PayoutCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
33573,ZV-759c,Deimos,ZV-759c,Deimos,ANT,Antares Station,0.10000000149011612,0.20000000298023224,Atlas,AT,50,AIC,1,1664198036878,1664457236878,PENDING
33572,ZV-759c,Deimos,ANT,Antares Station,ZV-759c,Deimos,0.7799999713897705,0.5,Atlas,AT,50,AIC,1,1664197701948,1664456901948,PENDING
33571,ZV-759c,Deimos,ANT,Antares Station,ZV-759c,Deimos,3.5999999046325684,2.4000000953674316,Atlas,AT,50,AIC,1,1664197687501,1664456887501,PENDING
33570,ZV-759c,Deimos,ANT,Antares Station,ZV-759c,Deimos,21,10,InterMetal,INM,50,AIC,1,1664195632241,1664282032241,PENDING
33569,ZV-759c,Deimos,ZV-759c,Deimos,ANT,Antares Station,1.2799999713897705,0.4000000059604645,CoolAir,COAR,50,AIC,2,1664193806073,1664366606073,PENDING
33567,ZV-759c,Deimos,ANT,Antares Station,ZV-759c,Deimos,51.345001220703125,45,Atlas,AT,150,AIC,1,1664193299176,1664452499176,PENDING
33564,ZV-759c,Deimos,ANT,Antares Station,ZV-759c,Deimos,45,20,InterMetal,INM,200,AIC,1,1664187268163,1664273668163,PENDING

