ContractNaturalId,PlanetNaturalId,PlanetName,OriginPlanetNaturalId,OriginPlanetName,DestinationPlanetNaturalId,DestinationPlanetName,CargoWeight,CargoVolume,CreatorCompanyName,CreatorCompanyCode,PayoutPrice,PayoutCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
8471,AM-783c,Ementior,AM-783b,Gallus,AM-783c,Ementior,500,200,Dominaria,DO,3000,CIS,3,1664196529904,1664455729904,PENDING
8470,AM-783c,Ementior,AM-783c,Ementior,AM-783b,Gallus,499.5,185,Dominaria,DO,3000,CIS,3,1664196473003,1664455673003,PENDING
8466,AM-783c,Ementior,AM-783c,Ementior,HM-049b,Poseidon,1.5,1.5,elder dominon,WIP,50,CIS,3,1664157201634,1664589201634,PENDING
8465,AM-783c,Ementior,AM-783c,Ementior,HM-049b,Poseidon,4.400000095367432,4.400000095367432,elder dominon,WIP,50,CIS,3,1664157182074,1664589182074,PENDING
8464,AM-783c,Ementior,AM-783c,Ementior,HM-049b,Poseidon,1,0.5,elder dominon,WIP,50,CIS,3,1664157122970,1664589122970,PENDING
8448,AM-783c,Ementior,AM-783c,Ementior,HM-049b,Poseidon,16.799999237060547,7,elder dominon,WIP,150,CIS,3,1664088897138,1664348097138,PENDING
8286,AM-783c,Ementior,AM-783c,Ementior,AM-783b,Gallus,499.489990234375,199,Saltu,SLTU,1000,CIS,3,1663435692367,1664299692367,F

